物件名称,所在地,延床面積,有効面積,latitude,longitude
丸の内二重橋ビル,東京都千代田区丸の内３－２－３,174054.18,0.0,35.67732653,139.76140852
大手町パークビルディング（大手町パーク）,東京都千代田区大手町１－１－１,151708.02,69027.23,35.68674221,139.76259427
大手町フィナンシャルシティグランキューブ（グランキューブ）,東京都千代田区大手町一丁目９番２号,193800.0,129700.73,35.68841153,139.76463853
東京駅前常盤橋プロジェクトＡ棟,東京都千代田区大手町2-6-3,146000.0,0.0,35.68401215,139.76995216
大名古屋ビルヂング,愛知県名古屋市中村区名駅三丁目２８番１２号,148073.19,81176.1,35.1721294,136.88455557
丸の内二丁目ビル（丸二）,東京都千代田区丸の内２－５－１,45985.39,31086.43,35.6799513,139.76323051
丸の内仲通りビル（丸仲）,東京都千代田区丸の内２－２－３,46102.2,29226.05,35.68011515,139.76267222
三菱ビル,東京都千代田区丸の内２－５－２,60434.55,37242.25,35.67982632,139.7636466
岸本ビル,東京都千代田区丸の内２－２－１,33972.0,8741.77,35.68008736,139.76199727
新東京ビル（新東京、新東）,東京都千代田区丸の内３－３－１,102768.18,71710.17,35.67737934,139.76291117
新国際ビル（新国際）,東京都千代田区丸の内３－４－１,77484.41,40709.36,35.67661552,139.76218348
国際ビル（国際）,東京都千代田区丸の内３－１－１,76918.25,41579.03,35.67675436,139.76084747
新日石ビル（新日石）,東京都千代田区丸の内３－４－２,26565.6,5318.05,35.67675718,139.76260011
パレスビル,東京都千代田区丸の内１－１－１,66850.0,43205.59,35.6845913,139.7614608
丸の内永楽ビルディング（永楽）,東京都千代田区丸の内１－４－１,139684.3,48929.28,35.68421005,139.76486335
丸の内北口ビルディング（丸北、北口ビル）,東京都千代田区丸の内１－６－５,65564.51,52534.4,35.68396207,139.76687738
丸の内ビルディング（丸ビル）,東京都千代田区丸の内２－４－１,159901.38,72884.24,35.68124562,139.76397765
日本工業倶楽部会館・三菱ＵＦＪ信託銀行本店ビル,東京都千代田区丸の内一丁目４番５、６号,109915.72,39875.07,35.68370926,139.76466365
明治安田生命ビル,東京都千代田区丸の内２－１－１,147134.43,42212.46,35.67920135,139.76233894
東京ビルディング（東ビル）,東京都千代田区丸の内２－７－３,147213.03,82145.09,35.67859593,139.76499152
新丸の内ビルディング（新丸ビル、新丸の内ビル）,東京都千代田区丸の内１－５－１,193685.62,97750.53,35.6825816,139.76446369
丸の内パークビルディング（丸の内パーク）,東京都千代田区丸の内２－６－１,195593.04,115608.21,35.67912916,139.76312221
ＪＰタワー（JP）,東京都千代田区丸の内２－７－２,212000.0,93126.36,35.67971664,139.76475651
新有楽町ビル（新有楽）,東京都千代田区有楽町１－１２－１,83023.27,51433.83,35.67569061,139.7619002
有楽町ビル（有楽）,東京都千代田区有楽町１－１０－１,42159.08,22799.14,35.6750129,139.76175857
有楽町電気ビル（有電）,東京都千代田区有楽町１－７－１,71142.0,24432.76,35.67441296,139.76123364
西新橋スクエア,東京都港区西新橋一丁目３－１,55372.73,17213.92,35.66931334,139.75440107
大手町ビル,東京都千代田区大手町１－６－１,111272.0,62967.03,35.68629508,139.76421918
新大手町ビル（新大手）,東京都千代田区大手町２－２－１,88785.0,58065.79,35.68527583,139.76705512
ＪＦＥ商事ビル,東京都千代田区大手町２－７－１,14270.98,10482.2,35.68626468,139.76947438
大手門タワー,東京都千代田区大手町１－１－２,107571.33,43488.97,35.68609976,139.76201849
経団連会館,東京都千代田区大手町１－３－２,54709.0,15403.68,35.68865592,139.76347471
朝日生命大手町ビル,東京都千代田区大手町２－６－１,49295.96,27128.6,35.68450652,139.76907721
大手町フィナンシャルシティノースタワー（フィナンシャルノース）,東京都千代田区大手町１－９－５,109618.81,27166.45,35.68826714,139.76593846
大手町フィナンシャルシティサウスタワー（フィナンシャルサウス）,東京都千代田区大手町１－９－７,133156.14,58312.12,35.68765331,139.76576904
ＪＡビル（ＪＡ）,東京都千代田区大手町１－３－１,79734.0,32965.29,35.68863924,139.76281642
大和呉服橋ビル（呉服橋）,東京都千代田区大手町２－６－４,24452.74,16241.06,35.68487316,139.76932719
日比谷国際ビル（日比国）,東京都千代田区内幸町２－２－３,128402.52,67955.39,35.67041322,139.75438436
英全ビルディング（英全ビル）,東京都千代田区六番町４－６,5668.0,3449.54,35.68868849,139.73429649
二番町ガーデン,東京都千代田区二番町８－８,58411.81,30627.08,35.68587213,139.73414661
山王パークタワー（山王パーク）,東京都千代田区永田町２－１１－１,219216.0,122582.5,35.67357085,139.74039378
山王グランドビル（山王グランド）,東京都千代田区永田町２－１４－２,33875.95,26130.54,35.6764816,139.73825496
千代田一番町ビル,東京都千代田区一番町２３番地３,0.0,4283.68,35.68630838,139.74200147
半蔵門ビル,東京都千代田区麹町２丁目７番地,8130.38,5536.93,35.68353645,139.74122109
神田橋パークビル（神田橋パーク）,東京都千代田区神田錦町１－１９－１,9491.0,6376.49,35.691164,139.76417737
二番町センタービル（二番町センター）,東京都千代田区二番町５番地２５,44343.84,24484.3,35.68559998,139.73609645
青山ビル,東京都港区北青山１－２－３,44037.85,28243.14,35.67303441,139.72362028
三田国際ビル（三田国）,東京都港区三田１－４－２８,111658.42,76083.34,35.65357592,139.74477747
新青山ビル（新青）,東京都港区南青山１－１－１,101550.0,59279.58,35.67275115,139.72540624
赤坂パークビル（赤パ）,東京都港区赤坂５－２－２０,98536.42,45215.36,35.67275966,139.73336942
新川三幸ビル,東京都中央区新川１－３－１７,11253.67,6079.87,35.67819363,139.78102624
国際新赤坂ビル（国際新赤坂）,東京都港区赤坂２－１４－２７（東館）赤坂６－１－２０（西館）,81160.39,45946.94,35.67203761,139.73700802
茅場町グリーンビル,東京都中央区日本橋茅場町１－７－３,2869.95,1737.29,35.68036,139.77844325
菱進御成門ビル（フロントプレイス御成門）,東京都港区新橋六丁目１７番１５号,8729.68,6017.06,35.66119472,139.75186549
三菱ケミカル日本橋ビル（樹脂ビル）,東京都中央区日本橋本石町１－２－２,18817.81,11416.97,35.68484547,139.772477
ＳＳＪ品川ビル（SSJ）,東京都港区港南１－６－２７,29943.0,17533.68,35.62952875,139.74545889
大和茅場町ビル（大和茅場町）,東京都中央区日本橋茅場町１－１－１１,5899.11,4129.68,35.68182933,139.77970158
晴海フロント,東京都中央区晴海２－１－４０,47703.24,33373.43,35.65589895,139.78397681
興銀リースビル,東京都港区虎ノ門１－２－６,17802.68,10114.71,35.66994646,139.7486071
晴海センタービル（晴海センター）,東京都中央区晴海２－５－２４,27365.85,20812.35,35.65539341,139.7825464
品川クリスタルスクエア（品クリ）,東京都港区港南１－６－４１,26529.7,14013.9,35.63133966,139.74556993
"ＳＰＰ銀座ビル（SPP銀座
SPP）",東京都中央区銀座２－４－９,3199.03,2259.46,35.67372427,139.76613603
新宿イーストサイドスクエア（イーストサイド）,東京都新宿区新宿６－２７－３０,170220.33,116894.56,35.69679808,139.70857346
大崎フロントタワー（大崎フロント）,東京都品川区大崎１－２－１,24125.01,16856.93,35.62185415,139.72808006
アイケイビルディング（アイケイ）,東京都品川区上大崎２－２４－９,21105.0,12134.05,35.63543564,139.71410587
ＳＯＵＴＨＧＡＴＥ新宿（サウス）,東京都渋谷区千駄ヶ谷５－３３－８,17077.33,12635.02,35.68742956,139.70340484
新宿フロントタワー（新宿フロント）,東京都新宿区北新宿２－２１－１,93996.52,57979.87,35.69599044,139.68936879
豊洲フォレシア（フォレシア）,東京都江東区豊洲三丁目２番２４号,101502.57,67126.99,35.65757407,139.79478419
豊洲フロント,東京都江東区豊洲三丁目２番２０号,106951.8,72581.52,35.65688166,139.79560802
横浜ランドマークタワー（ランドマーク）,神奈川県横浜市西区みなとみらい２－２－１,392884.85,209115.17,35.45575035,139.63167557
クイーンズタワーＡ（クイーンズ）,神奈川県横浜市西区みなとみらい２－３－１,91414.0,28201.37,35.45586421,139.6331032
ＭＭパークビル（MMパーク）,神奈川県横浜市西区みなとみらい３－６－３,51979.0,38468.77,35.45857773,139.63236707
北海道ビル（道ビル）,北海道札幌市中央区北二条西４－１,25951.21,18051.75,43.06394488,141.35040959
札幌北ビル（北ビル）,北海道札幌市北区北七条西２丁目８番地１,27176.72,18374.32,43.06969706,141.35169802
新北海道ビル（新ビル）,北海道札幌市北区北七条西４－３－１,12562.73,8069.51,43.06927756,141.34885383
北一条アネックスビル（アネックスビル）,北海道札幌市中央区北一条西４－２－１２,13439.54,9080.5,43.06214787,141.35050969
定禅寺パークビル（定禅寺パーク）,宮城県仙台市青葉区国分町２－１４－１８,8751.47,5044.43,38.26515631,140.86783329
仙台パークビル（仙台パーク）,宮城県仙台市青葉区国分町３－６－１,19718.91,11134.38,38.26701174,140.8690136
花京院スクエア（花京院）,宮城県仙台市青葉区花京院１－１－２０,40711.59,23180.16,38.26551796,140.88037346
仙台興和ビル（仙台興和）,宮城県仙台市青葉区一番町２－４－１,19865.49,10080.07,38.25958757,140.87323026
金沢パークビル（金沢パーク）,石川県金沢市広岡三丁目１番１号,48567.45,23830.39,36.58002212,136.64517711
名古屋錦フロントタワー（錦フロント）,愛知県名古屋市中区錦２－３－４,14575.87,8415.84,35.17280764,136.89996798
錦パークビル（錦パーク）,愛知県名古屋市中区錦２－４－３,27227.54,12096.2,35.17286323,136.90087067
新大阪フロントビル,大阪府大阪市淀川区宮原４－１－９,8757.55,6077.16,34.73485981,135.49703696
淀屋橋スクエア,大阪府大阪市中央区北浜２－６－１８,24346.2,8388.81,34.69180974,135.50403177
大阪富国生命ビル（大阪富国）,大阪府大阪市北区小松原町２－４,68491.19,40919.25,34.70229613,135.5001504
ＯＡＰタワーズ（OAP）,大阪府大阪市北区天満橋１－８－３０,257963.53,86509.15,34.69997861,135.51985812
広島パークビル（広島パークビル）,広島県広島市中区大手町３－７－５,14436.95,8763.16,34.38794939,132.45455865
新広島ビルディング,広島県広島市中区幟町,11479.99,0.0,34.39464621,132.46622151
広島鉄砲町ビルディング,広島県広島市中区鉄砲町１０－１２,9970.04,6637.8,34.39400455,132.46417447
ＮＨＫ広島放送センタービル,広島県広島市中区大手町２－１１－１０,36135.71,10960.18,34.3905658,132.45535298
